regiao,ano,mes,avg_temp_ar,p50_temp_ar,p1_temp_ar,p5_temp_ar,p99_temp_ar
CO,2009,1,24.74650692624485,24,17.4,19.4,34.4
CO,2009,2,24.848154499257618,24,18.8,20.2,33.4
CO,2009,3,25.054315627232057,24.2,18.5,20.1,34.6
CO,2009,4,24.24915568570034,23.6,15.9,18.2,33.5
CO,2009,5,23.043705558528938,22.6,12.8,15.9,32.8
CO,2009,6,21.12539282447403,20.7,8.1,12.7,32.2
CO,2009,7,22.268149040797685,21.6,8.6,13.2,33.75199999999968
CO,2009,8,23.480979798382275,22.8,10.6,14.7,35.2
CO,2009,9,24.78443116207205,24.1,13.2,16.6,36.2
CO,2009,10,25.1408075653565,24.4,16.9,19.1,35.2
CO,2009,11,25.67725536046099,24.9,18.6,20.5,35.2
CO,2009,12,24.57756704786965,23.9,18.2,19.9,33.1
CO,2010,1,24.90067420479763,24.2,18.4,20.2,33.8
CO,2010,2,25.622894547201536,24.8,18.7,20.6,35.1
CO,2010,3,25.38508148853776,24.5,18.5,20.2,34.4
CO,2010,4,24.30869963556406,23.8,14.3,16.9,34.3
CO,2010,5,22.21216207919779,22.1,9.1,12.5,33.8
CO,2010,6,22.230336403684422,21.4,10.3,13.6,33.8
CO,2010,7,21.970349716446126,21.4,8.4,11.9,34.2
CO,2010,8,23.01881913797461,22.4,8.4,12.4,36.4
CO,2010,9,26.321447013145708,25.7,14.5,17.5,38.1
CO,2010,10,25.3634769809774,24.6,15.4,18.3,36.2
CO,2010,11,24.339341868183972,23.7,16.3,18.4,33.9
CO,2010,12,24.94267322053124,24.3,16.5,19.2,34.8
CO,2011,1,24.453496829903926,23.7,18.2,19.7,32.9
CO,2011,2,24.35168015697817,23.6,18.2,19.8,32.4
CO,2011,3,24.061780528253045,23.4,18.4,19.8,32.1
CO,2011,4,24.12956435397791,23.5,16.1,18.1,32.6
CO,2011,5,22.18368053471013,21.8,11.4,14.3,32.3
CO,2011,6,21.122394090035847,20.5,7.9,12.1,32.8
CO,2011,7,22.120806847382962,21.4,9.2,12.8,34
CO,2011,8,23.783014395896878,23.5,8,11.8,36.8
CO,2011,9,25.604699244699244,25,12.6,16.5,37.2
CO,2011,10,24.772285176309484,24,16.4,18.5,35.2
CO,2011,11,24.68384041838934,24,16.4,18.4,34.9
CO,2011,12,24.76881970416793,24,17.6,19.4,34.8
CO,2012,1,24.199274435233704,23.5,17.5,19.3,33.8
CO,2012,2,24.646540986999305,23.8,17.6,19.2,34.6
CO,2012,3,24.461294910433104,23.6,16.2,18.9,33.9
CO,2012,4,24.436107227314313,23.7,16,18.7,33.4
CO,2012,5,22.37890987660573,21.9,11.5,15.4,32.5
CO,2012,6,22.02391176164545,21.5,10.5,13.9,32.7
CO,2012,7,21.422141453165242,20.8,7.4,11.7,34
CO,2012,8,23.54480969152502,23,11.5,14.4,35.5
CO,2012,9,25.93597811453623,25.3,12.4,16.6,38
CO,2012,10,26.451239212400502,25.7,17.4,19.5,37.3
CO,2012,11,25.105607832283955,24.3,18.5,20,34.5
CO,2012,12,25.721886058032556,24.9,18.6,20.4,35
CO,2013,1,24.844822088085515,24.1,18.1,19.8,34.4
CO,2013,2,24.78603869561268,23.9,18.5,19.9,33.9
CO,2013,3,24.968787943600795,24.2,18,19.8,34.4
CO,2013,4,23.402655330944494,23.1,14,16.8,32.2
CO,2013,5,22.987294620751744,22.6,11.6,15.5,32.8
CO,2013,6,22.67985874616249,22,13.3,15.9,32.8
CO,2013,7,21.44462613535104,21.1,5.9,10.7,33.8
CO,2013,8,22.279105515095026,22,5.798000000000001,10.4,35.5
CO,2013,9,24.897946732180337,24.4,11.9,15.9,36.6
CO,2013,10,24.991184360642595,24.3,16.2,18.7,35
CO,2013,11,24.96086470911975,24.1,17.7,19.5,35.1
CO,2013,12,24.994799582066868,24.2,18.5,20.1,34.4
CO,2014,1,24.688959269968077,23.9,17.9,19.5,33.6
CO,2014,2,24.703590581451227,23.9,18,19.8,35
CO,2014,3,24.443532049013164,23.7,18,19.6,32.6
CO,2014,4,24.29901538802579,23.7,15.8,18.5,33.1
CO,2014,5,22.281950097024023,22.2,10.7,13.7,32.3
CO,2014,6,22.12824948024948,21.6,11.6,14.3,32.7
CO,2014,7,21.585038629160064,20.7,10.6,13.5,33.4
CO,2014,8,23.997571379541405,23.4,12.1,15,35.7
CO,2014,9,26.00312683475081,25.3,15.8,18.7,36.4
CO,2014,10,26.581842070250133,25.7,17,19.5,38.2
CO,2014,11,24.90023321589838,24.1,17.9,19.6,33.9
CO,2014,12,24.646145868236722,23.9,18,19.7,33.7
CO,2015,1,25.6662148954193,24.8,18.5,20.1,35.5
CO,2015,2,24.769537018376358,23.9,18.6,20,34
CO,2015,3,24.31596104354847,23.6,17.8,19.3,32.9
CO,2015,4,24.334824332535117,23.7,17.5,19.2,32.4
CO,2015,5,22.70732102040476,22.4,13.8,16.4,31.9
CO,2015,6,22.2109993949532,21.6,12.5,14.9,32.6
CO,2015,7,22.23539304912449,21.3,11.7,14.6,33.8
CO,2015,8,24.494278410650562,23.8,12.5,15.3,36.5
CO,2015,9,26.47131919387486,25.8,13.7,17.7,38.1
CO,2015,10,26.921912538914153,26.1,15.7,19.4,38.3
CO,2015,11,25.92691681345342,25.1,18.4,20.2,36
CO,2015,12,25.753314316987016,25,18.8,20.3,34.9
CO,2016,1,24.85734943887604,24.2,19,20.5,33.7
CO,2016,2,25.747265214526156,24.9,18.8,20.6,34.6
CO,2016,3,25.159522062502084,24.5,17.8,19.9,34.1
CO,2016,4,25.327601802083876,25,10.5,15.5,35.3
CO,2016,5,23.00112210057227,22.5,11.7,15.3,33.8
CO,2016,6,21.354407699736903,20.9,8.1,12.7,33.4
CO,2016,7,22.54129875176065,21.9,8.4,12.7,35
CO,2016,8,23.821173881649074,23.3,10,13.9,36.4
CO,2016,9,24.545527170271615,24.2,11.1,14.2,36.794000000000224
CO,2016,10,25.445848578186954,24.9,14.1,18,36.4
CO,2016,11,24.882303009517276,24.2,16.9,19.2,34.6
CO,2016,12,24.759648304266683,24,18.2,19.9,33.7
CO,2017,1,24.94715115096318,24.1,18.2,19.9,34.3
CO,2017,2,24.759402815152143,24,18.3,19.8,33.8
CO,2017,3,24.978961244824017,24.2,18.123000000000005,19.8,33.8
CO,2017,4,24.124691778489204,23.7,14.3,17.7,33
CO,2017,5,23.797226304498388,23.2,15.6,17.6,33.1
CO,2017,6,21.80231423417232,21.4,9.3,13.3,32.9
CO,2017,7,20.899606387184377,20.4,7,11.4,33.3
CO,2017,8,24.42673780965479,23.8,11.6,15,36.7
CO,2017,9,26.124669547068947,25.5,15.2,17.5,37.7
CO,2017,10,26.241327549079706,25.5,15.6,18.5,37.7
CO,2017,11,24.85862008088849,24.1,17.5,19.4,34.3
CO,2017,12,24.648872989150767,24,18.3,19.9,33.4
N,2009,1,25.81344643060458,25.1,20.9,22.2,32.8
N,2009,2,25.387653275629567,24.7,20.7,22,32.1
N,2009,3,25.634107236969847,24.9,21,22.3,32.2
N,2009,4,25.593409215026874,25,21.1,22.3,31.8
N,2009,5,25.464082984756182,24.8,20.1,21.8,31.9
N,2009,6,25.534577569452384,25,18.1,20.5,32.7
N,2009,7,26.08702126519899,25.6,16.4,19.8,34.3
N,2009,8,27.05521838227499,26.5,18.1,20.7,35.6
N,2009,9,27.55856132800492,26.9,20,21.9,36.4
N,2009,10,27.38665147940227,26.7,20.9,22.3,35.7
N,2009,11,27.338214138073585,26.8,21.4,22.5,34.9
N,2009,12,26.270735253005313,25.6,20.9,22.2,33.8
N,2010,1,26.159246864359922,25.5,21.1,22.310000000000016,33.2
N,2010,2,26.604123677028557,26,21.5,22.8,33.4
N,2010,3,26.845654336619337,26.1,22,23.1,33.7
N,2010,4,26.501459567267013,25.8,20.8,22.7,34.2
N,2010,5,26.586209760013286,26,17.9,21.8,34.4
N,2010,6,26.219719333556974,25.6,17.3,20.3,34.1
N,2010,7,25.972853920658086,25.5,14.1,18.7,34.7
N,2010,8,26.77220293864342,26.3,15.7,19,36.3
N,2010,9,27.962616590319556,27.4,19.2,21.8,37.6
N,2010,10,27.53283548377989,26.9,20.6,22.3,36.1
N,2010,11,26.772517673286206,26.1,20.8,22.2,34.1
N,2010,12,26.132171884012376,25.4,20.6,22.1,33.4
N,2011,1,25.35065004404816,24.7,20.6,21.8,32.2
N,2011,2,25.25762907143302,24.5,20.5,21.8,32.2
N,2011,3,25.48498805306089,24.8,20.8,22,32.1
N,2011,4,25.673646949486113,24.9,21,22.1,32.5
N,2011,5,25.84397084291881,25.2,18.7,21.2,33
N,2011,6,26.0783709008056,25.5,17.6,20.3,33.8
N,2011,7,26.092663442785007,25.5,16.5,19.6,34.4
N,2011,8,26.84461340067702,26.3,16,19.6,36.5
N,2011,9,27.380204386573457,26.7,18.9,21.5,37.5
N,2011,10,26.733242886476972,25.9,20.9,22,35
N,2011,11,26.340435656665903,25.6,20.6,22,33.8
N,2011,12,26.233233389604173,25.4,21.1,22.2,33.6
N,2012,1,25.22851765775779,24.5,20.4,21.7,32.3
N,2012,2,25.00941035711499,24.3,20.2,21.5,32.3
N,2012,3,25.43673830892773,24.7,20.7,21.9,32.5
N,2012,4,26.020263671875,25.2,21.2,22.3,33.4
N,2012,5,25.951189860320746,25.3,19.7,21.6,33.2
N,2012,6,25.785956445532907,25.1,18,20.7,33.5
N,2012,7,25.72133051976899,25.2,16.1,19.1,34.7
N,2012,8,26.56882746765584,26,17,19.6,35.8
N,2012,9,27.37452279284478,26.7,19.7,21.620000000000026,36.9
N,2012,10,27.36105415619979,26.7,21.1,22.3,36.1
N,2012,11,26.921720444326898,26.2,21,22.3,34.9
N,2012,12,26.122050726024195,25.3,21,22.1,33.6
N,2013,1,25.93097460155118,25.2,21.3,22.3,32.9
N,2013,2,25.66502692508691,24.9,20.9,22.1,32.7
N,2013,3,25.994524058689105,25.3,21.1,22.4,33.2
N,2013,4,26.065595936794583,25.4,20.3,22.3,33
N,2013,5,25.9909957817268,25.2,20.1,21.9,33.2
N,2013,6,26.154664434278168,25.5,19.3,21.3,33.5
N,2013,7,25.630049197026505,25,15.3,19.7,34.5
N,2013,8,26.356646668095134,25.9,16.1,19.6,36
N,2013,9,27.1266154903758,26.5,19.5,21.7,36.3
N,2013,10,27.04658033961942,26.4,21,22.2,35.5
N,2013,11,26.18962134367741,25.5,20.7,22,33.5
N,2013,12,26.298028713175572,25.5,20.8,22.2,33.4
N,2014,1,25.637072917372354,24.9,20.5,21.7,32.9
N,2014,2,25.33830741626794,24.6,20.6,21.9,32.3
N,2014,3,25.61118378749917,24.9,20.8,22.1,32.5
N,2014,4,25.86556633695933,25.2,20.8,22.3,32.6
N,2014,5,25.949442748797633,25.3,19.1,21.7,33.2
N,2014,6,25.970604233179614,25.4,17.3,20.1,33.5
N,2014,7,25.790450123053567,25.3,16.7,19.3,34.3
N,2014,8,26.514480868022762,26,17,19.8,35.9
N,2014,9,27.38346234383455,26.7,20.4,21.8,36.298000000000314
N,2014,10,26.945355576613704,26.1,20.8,22,35.9
N,2014,11,26.6933807166538,26,20.9,22.2,34.4
N,2014,12,26.40779393780573,25.7,20.8,22.2,33.9
N,2015,1,25.756800256052674,24.9,20.7,21.8,33.2
N,2015,2,25.676560347292625,24.9,20.3,21.7,33.1
N,2015,3,25.55450009641342,24.8,20.7,22,32.6
N,2015,4,25.872874294881747,25.1,20.9,22.3,32.7
N,2015,5,25.936735087212103,25.2,20.2,21.9,32.8
N,2015,6,25.97392854471565,25.4,17.5,20.1,33.6
N,2015,7,26.20042986949471,25.6,17.2,19.8,34.6
N,2015,8,27.3025536287089,26.8,16.6,20.2,36.7
N,2015,9,28.380168251995602,27.7,20.1,22.2,37.8
N,2015,10,28.462044563878624,27.7,21.5,22.8,38
N,2015,11,27.798950035379242,27.2,21.6,22.7,35.7
N,2015,12,27.38788574677952,26.8,21.3,22.6,35.5
N,2016,1,26.787422399090392,26.1,21.1,22.5,34.9
N,2016,2,26.946156609195402,26.1,21.7,22.9,35.1
N,2016,3,26.62312168567272,25.9,22.2,23.1,33.9
N,2016,4,26.793727437916413,26,19.8,22.6,34.6
N,2016,5,26.613405732198835,25.9,19.4,21.5,34.7
N,2016,6,26.052493274938307,25.5,17.1,19.9,34.2
N,2016,7,26.460710859233807,26,16.1,18.8,35.5
N,2016,8,27.368902562715533,26.9,16.8,20.2,37
N,2016,9,27.37592781518511,26.7,19.6,21.9,37.1
N,2016,10,27.47650077279753,26.8,21.1,22.3,36.3
N,2016,11,27.30648519145772,26.7,21.1,22.4,35.8
N,2016,12,26.24252135933489,25.5,20.9,22.1,33.9
N,2017,1,25.552610782938537,24.8,20.6,21.7,33
N,2017,2,25.315083761447397,24.6,20.4,21.8,32.3
N,2017,3,25.730859636020597,25,20.7,22.1,32.7
N,2017,4,26.13457358207712,25.3,21,22.4,33.1
N,2017,5,26.75978128277013,26.1,20.2,22,34
N,2017,6,26.095929641578646,25.8,16.5,18.9,33.9
N,2017,7,25.64722467149831,25.5,14.4,17.2,34.2
N,2017,8,27.39419735273822,26.9,16.7,19.7,37
N,2017,9,27.762672463422867,27.1,18.8,21.5,37.3
N,2017,10,27.82881639079842,27.1,21,22.3,38
N,2017,11,26.970274355045238,26.3,21.1,22.4,34.4
N,2017,12,26.06451826990538,25.3,20.7,21.9,33.9
NE,2009,1,26.499849947227204,26.2,19.1,21,35.2
NE,2009,2,25.862586692979985,25.5,19.1,21,33.6
NE,2009,3,26.213349580960433,25.7,19.5,21.3,34.5
NE,2009,4,25.360775607240342,24.8,19.198,21.1,32.6
NE,2009,5,24.469721398933018,24.2,17.2,19.9,31
NE,2009,6,24.061693784099766,23.7,16.3,18.7,31.9
NE,2009,7,24.004329758407906,23.6,15.5,18,33.2
NE,2009,8,24.59262428171674,24.1,16.1,18.3,34.6
NE,2009,9,26.24399194687765,25.8,17.4,19.5,36.7
NE,2009,10,26.654144875676668,26.1,18.6,20.7,36.2
NE,2009,11,26.963617981205292,26.6,18.6,20.6,36.3
NE,2009,12,26.79901477281623,26.4,19.4,21.2,35.6
NE,2010,1,26.317138605825594,26,19.1,20.9,34.3
NE,2010,2,27.090990333081656,26.8,19.7,21.6,35.6
NE,2010,3,26.96623146486184,26.5,19.8,21.7,35.8
NE,2010,4,25.988182985515248,25.6,18.5,20.9,33.7
NE,2010,5,25.997354849824845,25.6,17.9,20.2,34.6
NE,2010,6,24.68292717889908,24.3,15.2,18.3,33.9
NE,2010,7,24.323666127963353,23.9,15.2,17.9,34.2
NE,2010,8,24.34565609249245,24,14.4,17,35.5
NE,2010,9,25.60627803763473,25.2,15.7,18.2,36.8
NE,2010,10,26.9671128330202,26.4,18.4,20.4,37.7
NE,2010,11,26.979180232978802,26.5,18.924999999999997,20.8,36.3
NE,2010,12,26.387349144059602,26.1,19,20.9,35.1
NE,2011,1,25.78511649580615,25.4,18.8,20.7,33.8
NE,2011,2,25.758323683059267,25.3,19.2,21,33.6
NE,2011,3,25.845441072527873,25.3,19.4,21.1,33.5
NE,2011,4,25.315169904337107,24.8,18.7,20.6,32.8
NE,2011,5,24.6345033165326,24.4,17,19.4,32.2
NE,2011,6,24.190768029784422,23.8,15.6,18.1,33.4
NE,2011,7,23.71662135558264,23.4,14.6,17.2,33.4
NE,2011,8,24.708416280910463,24.3,15.1,17.5,35.4
NE,2011,9,25.177577316546508,24.9,14.8,17.5,36.6
NE,2011,10,26.26868712593913,25.8,17.7,19.8,36.2
NE,2011,11,25.78047712464093,25.4,17.7,19.8,35.1
NE,2011,12,26.627804445999583,26.2,18.5,20.6,36
NE,2012,1,26.288248436103665,25.9,18.7,20.6,35.4
NE,2012,2,25.790874178141294,25.4,18.4,20.4,34.6
NE,2012,3,26.203989035402827,25.8,18.7,20.6,35.1
NE,2012,4,26.392282969039726,26,18.1,20.3,35.6
NE,2012,5,25.762660874814063,25.3,17.5,19.7,35.1
NE,2012,6,25.132613633756282,24.7,16.7,18.9,34.7
NE,2012,7,24.51143393303294,24.2,15.1,17.7,35
NE,2012,8,24.52122638884251,24.2,14.9,17.4,35.5
NE,2012,9,25.95981975345588,25.5,16.1,18.5,37.1
NE,2012,10,26.79556652379097,26.2,17.5,19.6,37.9
NE,2012,11,26.83601485008858,26.2,19,21,36.8
NE,2012,12,27.18867732671829,26.7,19,21,36.2
NE,2013,1,26.816625641261588,26.4,19.6,21.5,35.4
NE,2013,2,27.126173292043227,26.8,19.3,21.3,36.2
NE,2013,3,27.377946069088406,26.9,20,21.8,36.6
NE,2013,4,26.296086083081256,25.8,18.9,21,35.1
