regiao,ano,mes,avg_temp_ar,p50_temp_ar,p1_temp_ar,p5_temp_ar,p99_temp_ar
NE,2013,5,25.5701650579576,25.2,17.8,20.1,33.7
NE,2013,6,24.963643962032997,24.5,17,19.2,33.8
NE,2013,7,24.470600515780426,24,15.9,18.2,34.3
NE,2013,8,25.0105201566157,24.6,15.6,18.1,35.7
NE,2013,9,26.16797350638924,25.7,16.9,18.9,37.3
NE,2013,10,26.67097612629958,26.2,17.8,19.8,37.2
NE,2013,11,26.463575842977132,26,18.5,20.4,36
NE,2013,12,26.41842536963654,25.9,19.3,21.1,35.8
NE,2014,1,26.29165526530699,26,18.6,20.6,34.9
NE,2014,2,25.975759921863833,25.6,18.9,20.9,34.3
NE,2014,3,26.07846574020248,25.6,19.4,21.2,34.1
NE,2014,4,25.85822838286843,25.3,18.7,20.7,33.5
NE,2014,5,25.07090245629323,24.6,17.2,19.6,33.2
NE,2014,6,24.75463471933946,24.4,16.2,18.5,33.9
NE,2014,7,24.455897792607246,24,15.8,18.2,34.3
NE,2014,8,24.72166572395172,24.4,15.3,17.6,35.6
NE,2014,9,25.892702580863293,25.4,16.4,18.7,36.9
NE,2014,10,26.41817867692136,26,17.2,19.4,37
NE,2014,11,26.461451829512523,25.9,18.385,20.3,36.4
NE,2014,12,26.35310551461657,26,18.8,20.6,35.5
NE,2015,1,26.73018883492857,26.3,18.9,20.7,35.8
NE,2015,2,26.43337611976598,26.1,19.1,21,35.2
NE,2015,3,26.36378010273811,25.9,19.5,21.2,34.6
NE,2015,4,26.429012878759433,25.9,19.5,21.2,34.8
NE,2015,5,25.76960939132858,25.3,17.8,20.2,34.6
NE,2015,6,24.87044685860433,24.4,16.5,19,34.1
NE,2015,7,24.704555806009342,24.3,16.2,18.4,34.5
NE,2015,8,24.913183513784006,24.5,15.2,17.7,36
NE,2015,9,26.59427682528314,26.1,16.7,19,37.6
NE,2015,10,27.390948609795988,26.8,18,20.1,38.2
NE,2015,11,28.14327194917791,27.5,19.1,21.2,38.2
NE,2015,12,28.112865379682603,27.6,19.4,21.4,37.9
NE,2016,1,26.26836043517595,25.8,19.7,21.5,35.4
NE,2016,2,26.705755010581353,26.4,19.1,21,34.8
NE,2016,3,27.218592457933358,26.9,19.8,21.7,35.4
NE,2016,4,26.742206645010544,26.4,18.8,21,35.2
NE,2016,5,26.107231175175002,25.7,17.6,20,35.4
NE,2016,6,25.33509744977759,24.9,16.1,18.8,35.1
NE,2016,7,24.726862266249327,24.5,15.1,17.7,35.1
NE,2016,8,25.565127899514074,25.2,15.7,18.1,36.6
NE,2016,9,26.488119075578368,26.1,16.7,19,37.2
NE,2016,10,27.371051786208806,26.8,18.5,20.6,37.7
NE,2016,11,27.46320389904583,26.9,18.8,20.8,37.7
NE,2016,12,27.276148772484333,26.8,19.3,21.3,36.7
NE,2017,1,27.293546785802928,26.9,19.3,21.3,36.1
NE,2017,2,26.529599520473532,26.1,19.5,21.3,35.1
NE,2017,3,26.47802361972891,26,19.5,21.5,34.7
NE,2017,4,26.125393306717033,25.6,19.2,21.1,33.9
NE,2017,5,25.72249689481957,25.2,17.7,20.2,34.7
NE,2017,6,24.9328601315003,24.6,16.3,18.9,34.1
NE,2017,7,23.594693841105432,23.2,14.5,17.2,33.5
NE,2017,8,24.807167239252994,24.3,14.8,17.6,36.1
NE,2017,9,25.308687196483234,24.8,16.1,18.3,36.6
NE,2017,10,26.989925783693987,26.4,17.7,19.8,38
NE,2017,11,26.919094498721254,26.4,18.6,20.6,36.7
NE,2017,12,27.212680258577823,26.7,19.5,21.5,36.7
S,2009,1,21.789043583535108,21.6,11.4,14.4,33
S,2009,2,22.870113460027003,22.6,13.6,16.5,32.9
S,2009,3,22.37477503787395,22.2,12.5,15.6,32.7
S,2009,4,19.939204171137085,19.7,9.2,12.2,31.1
S,2009,5,16.95249233270517,17,5.324999999999999,8.5,28.4
S,2009,6,12.443600391772772,12.6,1.3,4.5,23.5
S,2009,7,12.260652513449413,12.5,-0.2,3.4,23.8
S,2009,8,15.93874264302341,15.5,5.1,7.8,29.6
S,2009,9,16.381349939103444,16.4,5.2,8.4,29.1
S,2009,10,18.54526201466196,18.2,7.5,10.4,32
S,2009,11,22.60024781730146,22.1,13.1,16.2,33.7
S,2009,12,22.536640123866402,22.5,12,15.5,31.9
S,2010,1,23.180203418671205,23,15,17.2,32.2
S,2010,2,24.07584839422702,23.9,13.9,17.2,34.8
S,2010,3,22.064511880904668,21.9,13,15.7,31.6
S,2010,4,18.91431052313216,18.8,8.1,11,30.8
S,2010,5,15.563198542666843,15.5,6.6000000000000005,8.9,25.1
S,2010,6,14.47068273889904,14.6,3.6,6.4,26.7
S,2010,7,14.208591853250606,14.5,0.8,4.2,27.4
S,2010,8,14.506960641399417,14.4,1.2,4.1,30.6
S,2010,9,17.013675666137285,16.9,6.7,9.4,30.9
S,2010,10,17.447797903808933,17.4,6.5,9.7,29.1
S,2010,11,19.83093595503506,19.7,7.9,11.5,31.8
S,2010,12,21.86203356367226,21.7,10.4,14.1,32.9
S,2011,1,23.585421308301985,23.2,14.8,17.6,33.3
S,2011,2,22.83298578006775,22.7,14.3,17.2,31.7
S,2011,3,21.205042232831435,21.1,11.2,14.5,31.4
S,2011,4,19.257566668589337,19.1,9.2,12.2,29.4
S,2011,5,15.576974416017798,15.7,4.5,8,26.362999999999737
S,2011,6,13.197894407191807,13.4,0.5,4.4,25
S,2011,7,13.72926300176138,14.1,-0.1,3.2,27.1
S,2011,8,14.671549612274594,14.7,1,4.4,30.1
S,2011,9,16.289833918642085,15.9,4.1,7.7,30.9
S,2011,10,18.80049714143674,18.6,8.5,11.6,30.6
S,2011,11,20.214393063583817,20,8.5,12,32.3
S,2011,12,21.493744383769958,21.2,10.4,13.7,34
S,2012,1,22.66831849428886,22.3,12.4,15.4,34.5
S,2012,2,23.90831288539911,23.5,14.5,17.2,34.9
S,2012,3,21.527173688461467,21.6,8.3,12.7,33.7
S,2012,4,18.894585756489104,18.9,7.2,10.3,30.4
S,2012,5,16.817609727572922,17,5.1,8.8,27.1
S,2012,6,14.359747223286098,14.6,0.6,5.1,26.7
S,2012,7,13.186139598696622,13.1,1.3,4.2,27.3
S,2012,8,17.684759022679206,17.7,6.2,9.1,29.6
S,2012,9,17.859865301724138,17.7,3.7,8.2,32.9
S,2012,10,19.995028544656336,19.6,9.6,12.7,33.2
S,2012,11,21.6423357791754,21.5,10.7,13.9,32.8
S,2012,12,23.510435694472633,23,14.2,16.9,34.5
S,2013,1,22.050907516511877,21.9,11.5,14.7,32.8
S,2013,2,22.40635533574282,22.3,12.5,15.7,32.4
S,2013,3,20.21122747113489,20.1,10.414999999999997,13.4,30.8
S,2013,4,18.7337443404499,19,7.3,10.5,28.5
S,2013,5,16.05984870778445,16.2,3.3,7.5,28.3
S,2013,6,14.561691506424697,14.5,5.3,8,24.3
S,2013,7,13.549900365034299,13.9,-0.1,3.3,26.2
S,2013,8,13.874735137798739,13.5,1.3,4.2,29.2
S,2013,9,16.76099576843432,16.3,4.2,7.5,32.3
S,2013,10,18.613892619703176,18.5,7.5,10.6,30.4
S,2013,11,20.94549633150053,20.7,10.1,13.4,32.3
S,2013,12,23.19487648673376,22.9,12.6,15.7,34.6
S,2014,1,24.013478999673882,23.6,14.7,17.1,35.2
S,2014,2,23.932368345871822,23.4,13.5,16.4,36.5
S,2014,3,21.26753642542846,21.2,10.8,14.3,31.1
S,2014,4,19.480801916082676,19.6,8.2,11.5,30.6
S,2014,5,16.18892724281013,16.3,5.5,8.3,26.688999999999943
S,2014,6,15.15683431776147,15.4,3.1,6.9,26.1
S,2014,7,14.645096781092931,14.9,3,5.9,26.3
S,2014,8,16.20934492935855,16.1,2.9,6.4,30.1
S,2014,9,18.088683505268182,17.7,8.4,11.1,31
S,2014,10,20.822890561215434,20.3,9.6,12.7,34.6
S,2014,11,21.534516970359146,21.3,11.4,14.4,32.1
S,2014,12,22.428923789388907,22.3,12.4,15.5,32.6
S,2015,1,23.430129513620045,23.1,14.2,16.9,33.7
S,2015,2,22.737377460591325,22.5,13.8,16.6,32.1
S,2015,3,21.867946633680862,21.7,12.2,15.1,31.6
S,2015,4,19.55858073859522,19.5,9.6,12.4,29.6
S,2015,5,16.795238009667738,16.9,6.6,9.7,26.7
S,2015,6,15.187687866654251,15.3,2.9,6.4,27.3
S,2015,7,14.874464716387134,14.9,3.9,7.7,26.3
S,2015,8,18.620256901085927,18.3,7.7,10.8,30.8
S,2015,9,17.69783057456325,17.5,4,8.8,33.5
S,2015,10,19.0804382636544,18.6,8.4,11.7,32.9
S,2015,11,20.120092441055338,20,10.4,13.4,30.8
S,2015,12,22.300202329427496,22,13.2,16.3,31.9
S,2016,1,23.625031478217075,23.3,14,17.1,34
S,2016,2,23.743636993152265,23.4,14.8,18,33.3
S,2016,3,21.121664355062414,20.8,11.7,14.6,31.6
S,2016,4,21.319274101938582,21.9,3.7,8,33.5
S,2016,5,14.537700181296268,14.8,3.5,6.9,24.2
S,2016,6,11.571688022073554,11.9,-0.8,3,23.4
S,2016,7,13.95291590352784,13.9,1.3,4.4,27.5
S,2016,8,15.33051933196065,15.1,3.1,6.8,29.2
S,2016,9,15.841470852593734,15.3,4.8,7.7,29.6
S,2016,10,18.479129235014565,18.3,7.2,10.6,31.7
S,2016,11,20.283871952689346,20.2,8.1,11.8,32.2
S,2016,12,22.18953813104189,22,10.8,14.8,32.7
S,2017,1,23.10317945777183,22.9,13.8,16.8,32.3
S,2017,2,23.551799047080085,23.2,14.6,17.4,33.3
S,2017,3,21.50724860792663,21.4,11.3,14.3,31.9
S,2017,4,18.528079296438463,18.8,6,10.1,28.6
S,2017,5,17.254196514319002,17.2,8.5,11,26.8
S,2017,6,15.021280560396141,15.1,3.2,6.6,26.3
S,2017,7,15.08540132135033,15.5,0.2,4.6,27.5
S,2017,8,16.419916535917054,16.2,4.4,8,30.7
S,2017,9,19.897361849052178,19.2,10.4,12.7,32.9
S,2017,10,18.881292678300454,18.7,7.7,11.4,31.5
S,2017,11,19.757782336291065,19.5,8.8,12.1,31.7
S,2017,12,22.530084995244493,22.1,12.8,15.6,33.5
SE,2009,1,23.354454421768708,22.9,15.3,17.7,32.7
SE,2009,2,24.219558516906897,23.8,16,18.3,33.2
SE,2009,3,24.104379811571018,23.7,15.6,18.1,34.2
SE,2009,4,21.859776263913847,21.8,12,15.1,30.4
SE,2009,5,20.20729207672155,20,10.2,13.2,30.1
SE,2009,6,18.174831338876924,18.2,5.8,9.9,28.9
SE,2009,7,19.430378245643407,19.2,8.3,11.9,30.5
SE,2009,8,19.978905199539792,19.7,8.6,12.2,31.4
SE,2009,9,22.518348451583083,22,12.5,15.4,33.9
SE,2009,10,22.736672570449407,22.4,13.4,16.33000000000002,33.1
SE,2009,11,24.449880384468383,24,15.7,18.1,34.1
SE,2009,12,23.566303452818797,23.1,15.7,17.9,33.2
SE,2010,1,24.58535182773051,24.1,16.5,18.5,34.4
SE,2010,2,25.049508679986896,24.5,16.1,18.5,35.5
SE,2010,3,23.919546711341752,23.5,15.2,18,33.6
SE,2010,4,21.876820458090467,21.8,11.1,14.3,32
SE,2010,5,19.99823771580345,19.9,8.5,11.9,31
SE,2010,6,17.98561065411095,17.9,5.8,9.5,30.1
SE,2010,7,19.409435607736963,19.3,7.9,11.7,30.1
SE,2010,8,19.341354627773367,19.1,6.1,9.8,32.6
SE,2010,9,21.652192503141904,21.1,10.2,13.5,34.2
SE,2010,10,22.07075630922163,21.7,10.5,13.9,34.4
SE,2010,11,22.43746969856661,22.1,12.9,15.8,32.7
SE,2010,12,23.865278099801632,23.4,15.4,17.9,33.3
SE,2011,1,24.0195289525392,23.5,15.7,18.1,33.3
SE,2011,2,24.44183028001085,24,15.4,18.1,34.1
SE,2011,3,22.66947247796023,22.3,14.9,17.4,31.6
SE,2011,4,22.107337217407316,21.9,12.8,15.7,31.1
SE,2011,5,19.264103819784523,19.2,7.9,11.4,29.6
SE,2011,6,17.821273481336913,17.8,4.8,9.2,29.3
SE,2011,7,18.71419033939781,18.5,6.7,10.2,30.3
SE,2011,8,20.51629893053681,20.1,7,11.4,33.5
SE,2011,9,20.81722425088605,20.4,7.8,11.5,34.6
SE,2011,10,21.769053065533797,21.4,11.5,14.6,33.3
SE,2011,11,21.326781586679726,21.1,10.7,13.9,32
SE,2011,12,22.757345087517567,22.3,13.9,16.8,32.6
SE,2012,1,22.630964230171074,22.1,14,16.7,32.5
SE,2012,2,24.015475303871284,23.5,14.8,17.4,34.3
SE,2012,3,23.31711668212602,22.8,13.9,16.7,33.6
SE,2012,4,22.61277977412731,22.3,13,15.9,33.2
SE,2012,5,19.359467448241457,19.1,8.9,12.4,30.3
SE,2012,6,19.606125753705996,19.4,9.5,12.6,30.4
SE,2012,7,18.738311167881385,18.6,6.2,9.8,30.5
SE,2012,8,19.44890371302706,19.3,8,11.6,29.9
SE,2012,9,21.654401495933257,21.3,8.3,12.3,35.2
SE,2012,10,23.71053920022209,23.2,12.2,15.5,36.2
SE,2012,11,22.601131148600608,22.2,13.2,16.3,33
SE,2012,12,24.93908093484632,24.4,16.2,18.6,34.9
SE,2013,1,23.396226220150073,23,14.7,17.3,33.5
SE,2013,2,24.10365174157785,23.7,15.2,17.8,34
SE,2013,3,23.461494906665287,23,14.6,17.275000000000002,34.244999999999706
SE,2013,4,21.180766700005265,21.3,10.3,13.9,30.9
SE,2013,5,20.04497209884979,19.7,8.8,12.4,31
SE,2013,6,19.691472543030557,19.3,9.9,13,29.8
SE,2013,7,18.542131050989337,18.5,6,9.6,30.4
SE,2013,8,19.408951348626164,19.3,6.2,10,31.7
SE,2013,9,21.238624777865695,20.8,9.3,12.9,34.4
SE,2013,10,21.74624452339405,21.4,11,14.1,33.6
SE,2013,11,22.677823563930364,22.1,13.1,15.9,33.8
SE,2013,12,23.503725791889728,23,14.8,17.7,33.5
SE,2014,1,24.53086261068266,24.1,15.1,17.7,34.2
SE,2014,2,24.59529793443459,24.1,15,17.7,35.1
SE,2014,3,23.482774943526486,23.1,14.7,17.3,33.1
SE,2014,4,22.299361824822196,22.2,11.1,14.6,32.3
SE,2014,5,20.01038545636284,19.9,8.5,12.1,30.96600000000035
SE,2014,6,19.49977221846202,19.4,8.4,11.9,30.1
SE,2014,7,18.593229705518684,18.5,7.2,10.9,29.9
SE,2014,8,19.797118552081887,19.5,7.2,10.9,32.5
SE,2014,9,22.032023578183704,21.6,9.9,13.6,34.7
SE,2014,10,22.94719225617923,22.4,10.3,13.9,36.9
SE,2014,11,22.947594834121983,22.7,13.1,16.2,33
SE,2014,12,23.678024196044923,23.2,14.7,17.3,33.9
SE,2015,1,25.482243786615737,25,15.9,18.3,36.1
SE,2015,2,24.0028691671169,23.5,15.7,18,33.9
SE,2015,3,23.348338477366255,22.9,15.4,17.7,33
SE,2015,4,22.402377567461446,22.2,13.4,15.9,32.1
SE,2015,5,19.898078870134697,19.7,10.2,13.3,30
SE,2015,6,19.248096340060243,19,8.6,11.9,30.3
SE,2015,7,19.52822685869795,19.2,9.5,12.4,30.1
SE,2015,8,20.32392554404402,20,8.3,12,32.4
SE,2015,9,23.005284342548546,22.2,12.1,14.8,36.3
SE,2015,10,24.45797498142185,23.8,13.9,16.6,37.1
SE,2015,11,24.49972215464591,23.9,16.1,18.3,35.8
SE,2015,12,24.740634301049038,24.1,16.4,18.7,35.7
SE,2016,1,23.88819180423287,23.3,15.9,18.3,34
SE,2016,2,25.104004258672898,24.5,16.3,18.9,35
SE,2016,3,24.290384349769592,23.8,15.7,18.3,34
SE,2016,4,23.80882578761218,23.5,11.7,15.4,34.5
SE,2016,5,20.379667536579635,20.2,8.9,12.6,31.9
SE,2016,6,18.245020162054885,18.3,4.9,9.4,31.3
SE,2016,7,19.17402378522088,19,6.2,10.1,31.5
SE,2016,8,20.324688462278676,20.1,7.5,11.1,33.3
SE,2016,9,21.93449736480154,21.5,10.4,13.5,34.5
SE,2016,10,22.919080023028208,22.4,12.3,15.1,35.4
SE,2016,11,22.786877307879887,22.3,13,16.2,33.3
SE,2016,12,23.85231685740521,23.4,14.6,17.3,33.7
SE,2017,1,24.63428394874605,24,16.7,18.6,34.8
SE,2017,2,24.349614316963656,23.9,16.2,18.2,33.9
SE,2017,3,23.72371159452792,23.3,14.1,16.8,34
SE,2017,4,22.398276968094084,22.1,12.653999999999996,15.5,32.6
SE,2017,5,20.60386454966367,20.4,10.7,13.9,31
SE,2017,6,19.401215533514463,19.2,7.8,11.6,30.9
SE,2017,7,17.78243375858685,17.7,6.3,9.9,28.2
SE,2017,8,19.736559072062143,19.3,8,11.4,32.9
SE,2017,9,21.814797973666494,21.4,9,13.2,34
SE,2017,10,23.707022425591557,23,12.9,15.9,36.3
SE,2017,11,22.620228956644162,22.2,12,15.8,33.1
SE,2017,12,23.52660120138862,23.1,14.1,17.5,33.2
